tweet_id,tweet,sarcastic,rephrase,dialect
435,كان من الرائع اكتشاف امريكا ولكن كان اروع لو لم يتم استكشافها,1,امريكا تشكل خطرا كبيرا على جميع الشعوب بما فيهم الوطن العربي,msa
1268,كان رجل مسن منحني الظهر يسيرُ في الطريق .. فقال : شاب بسخريه بـ كم القوس يا عم ؟ .. قـال : إن عشت س يأتيك بلا ثمن .. ^ فنون الرد  ,1,,msa
4137,"""يا جماعه هذا بوكيمون ماحدا عرف يصطاده ويطعميه للجرذان===========================""",1,,levant
4984, اسلحه امريكيه يمتلكها حزب الله المجوسي  من اين لك هذا؟ ,0,,msa
2036,"""RT @USER |           تبا جدار الصامتين          |خطبة الشيخ احمدالقطان عن حماة ١٩٨٢وكأنها تتحدث عن حلب ٢٠١٦HTTPURL",0,,msa
4256,"""RT @USER #سعد_الحريري يتهم ايران بتدمير #سوريا والتورط بدماء شعبها ويتوعدها بأن اصوات اطفال #حلب ستظل تقض مضاجع القتلة! #جيري_ماهر""",1,,msa
5245,"""#بالفيديو.. كيف ضحى #عادل_إمام بنفسه من أجل والدته؟HTTPURL #روتانا RotanaAflam""",0,,msa
3113,لو كنا ممن يحتفلون بما يسمى عيد الميلاد لأحتفل نصف الشعب السعودي غداً السبت فهو يوافق واحد رجب (1\7) #السعودية #هههههههه  ”,1,,msa
5222,قبل ما تنزل الثورة بكرة خد معاك السندويتشات و العصير و إدفى كويس عشان البرد #عبث  ,0,,egypt
5113,"""حكومة الجزائر تعلن الحداد على كاسترو لمدة ٨ ايام. اقل بيوم واحد عن حداد كوبا!كيف نفسر هذا الخبر والقرار! #الجزائر #كوبا #كاسترو""",0,,msa
902,بس في السودان : الوحدة يكون اسمة حلو وظابط تلقاها شينه ووسخانه وتلقا وحدة مزة وكسارة لكن اسما تقول معرسة ابو لهب ☻  ,1,,egypt
3336,بس؟ يعني ال٣ مليون اللي نزلوا فعليا غيروا رأيهم؟ رغم ان الانقلاب جميل واليف وناجح وكدة,1,,egypt
1908,واللى ماتوا فى  بورسعيد عشان رجال ، لما قاوموا حُكم  عسكر كالجبال ,0,,msa
2113,"""شايف يا اونكل سيسي الناس بتتكلم عن مصر ازاى؟ :pensive_face: HTTPURL",1,,egypt
3391,"""@USER @USER @USER اتقي الله ياشيخه:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: ده كفايه كليب بيونسيه لوحده يدخل النار حدف:face_with_tears_of_joy::face_with_tears_of_joy::smiling_face_with_horns::smiling_face_with_horns:""",1,,egypt
4350,لماذا يقال عن الشعب المصرى انه شعب فوضوى؟ ... علشان بيكره النظام :) أعجبتني ههههههه #مصر   مصرية,1,,msa
4575,عندما اندلع التصفيق الحاد لتكريم مرسي لفتاة مسيحية في مسابقة المولد النبوي شعرت أن كثيرا من الحاضرين يصفقون لأنهم ينتظرون منها إعلان إسلامها,1,,msa
2576,"""@USER ما أنا رديت على سيادتك!!الناتو تبين أنه ضدنا وإسرائيل واضح إنها ضدنا..ما اطلعش تصريحات عنترية ثم اذهب لتقبيلهم من فمهم!!""",1,,msa
